METADATA|PersonEmail|SourceSystemOwner|SourceSystemId|PersonId(SourceSystemId)|EmailType|EmailAddress|DateFrom|PrimaryFlag
MERGE|PersonEmail|ALTAHRN01|5500018_PER_EMAIL|5500018|W1|a.buening@yopmail.com|1977/01/01|Y
MERGE|PersonEmail|ALTAHRN01|5500165_PER_EMAIL|5500165|W1|e.grobstein@yopmail.com|2014/10/01|Y
MERGE|PersonEmail|ALTAHRN01|5500178_PER_EMAIL|5500178|W1|o.strawhorn@yopmail.com|1994/09/01|Y
MERGE|PersonEmail|ALTAHRN01|5500188_PER_EMAIL|5500188|W1|a.gremillio@yopmail.com|2001/11/05|Y
MERGE|PersonEmail|ALTAHRN01|5500215_PER_EMAIL|5500215|W1|e.adolph@yopmail.com|1992/07/20|Y
MERGE|PersonEmail|ALTAHRN01|5500255_PER_EMAIL|5500255|W1|u.siverson@yopmail.com|2016/03/21|Y
MERGE|PersonEmail|ALTAHRN01|5500301_PER_EMAIL|5500301|W1|e.acoba@yopmail.com|1998/09/01|Y
MERGE|PersonEmail|ALTAHRN01|5500316_PER_EMAIL|5500316|W1|e.thatch@yopmail.com|1997/04/07|Y
MERGE|PersonEmail|ALTAHRN01|5500341_PER_EMAIL|5500341|W1|n.bowhall@yopmail.com|2013/09/01|Y
MERGE|PersonEmail|ALTAHRN01|5500362_PER_EMAIL|5500362|W1|a.beisser@yopmail.com|1983/10/01|Y
MERGE|PersonEmail|ALTAHRN01|5500375_PER_EMAIL|5500375|W1|l.iwanejko@yopmail.com|2005/03/14|Y
MERGE|PersonEmail|ALTAHRN01|5500390_PER_EMAIL|5500390|W1|h.dantzler@yopmail.com|1999/12/31|Y
MERGE|PersonEmail|ALTAHRN01|5500400_PER_EMAIL|5500400|W1|u.layman@yopmail.com|1979/06/25|Y
MERGE|PersonEmail|ALTAHRN01|5500415_PER_EMAIL|5500415|W1|u.grippo@yopmail.com|1995/09/01|Y
MERGE|PersonEmail|ALTAHRN01|5500417_PER_EMAIL|5500417|W1|a.platko@yopmail.com|2006/12/01|Y
MERGE|PersonEmail|ALTAHRN01|5500436_PER_EMAIL|5500436|W1|o.ettel@yopmail.com|2010/11/01|Y
MERGE|PersonEmail|ALTAHRN01|5500537_PER_EMAIL|5500537|W1|i.trudics@yopmail.com|1981/08/01|Y
MERGE|PersonEmail|ALTAHRN01|5500574_PER_EMAIL|5500574|W1|r.krumins@yopmail.com|2015/04/01|Y
MERGE|PersonEmail|ALTAHRN01|5500583_PER_EMAIL|5500583|W1|u.hemesath@yopmail.com|1992/09/01|Y
MERGE|PersonEmail|ALTAHRN01|5500589_PER_EMAIL|5500589|W1|n.sandven@yopmail.com|1991/04/01|Y
MERGE|PersonEmail|ALTAHRN01|5500590_PER_EMAIL|5500590|W1|h.hun@yopmail.com|2007/04/02|Y
MERGE|PersonEmail|ALTAHRN01|5500619_PER_EMAIL|5500619|W1|l.gollop@yopmail.com|1979/01/01|Y
MERGE|PersonEmail|ALTAHRN01|5500624_PER_EMAIL|5500624|W1|o.meysembou@yopmail.com|1986/08/11|Y
MERGE|PersonEmail|ALTAHRN01|5500627_PER_EMAIL|5500627|W1|h.diorio@yopmail.com|1980/10/01|Y
MERGE|PersonEmail|ALTAHRN01|5500628_PER_EMAIL|5500628|W1|i.packen@yopmail.com|1985/03/11|Y
MERGE|PersonEmail|ALTAHRN01|5500631_PER_EMAIL|5500631|W1|a.kopplin@yopmail.com|1986/12/01|Y
MERGE|PersonEmail|ALTAHRN01|5500634_PER_EMAIL|5500634|W1|a.verdin@yopmail.com|1986/01/01|Y
MERGE|PersonEmail|ALTAHRN01|5500646_PER_EMAIL|5500646|W1|a.schlieter@yopmail.com|2014/01/02|Y
MERGE|PersonEmail|ALTAHRN01|5502919_PER_EMAIL|5502919|W1|u.tollerud@yopmail.com|2004/07/12|Y
MERGE|PersonEmail|ALTAHRN01|5502921_PER_EMAIL|5502921|W1|a.berni@yopmail.com|1978/10/01|Y
MERGE|PersonEmail|ALTAHRN01|5502951_PER_EMAIL|5502951|W1|r.levalley@yopmail.com|1985/06/24|Y
MERGE|PersonEmail|ALTAHRN01|5502967_PER_EMAIL|5502967|W1|a.giaquinto@yopmail.com|1991/01/01|Y
MERGE|PersonEmail|ALTAHRN01|5502973_PER_EMAIL|5502973|W1|r.persad@yopmail.com|1998/07/01|Y
MERGE|PersonEmail|ALTAHRN01|5502986_PER_EMAIL|5502986|W1|e.lebouf@yopmail.com|1990/04/23|Y
MERGE|PersonEmail|ALTAHRN01|5503003_PER_EMAIL|5503003|W1|e.prins@yopmail.com|1977/01/01|Y
MERGE|PersonEmail|ALTAHRN01|5503015_PER_EMAIL|5503015|W1|a.basford@yopmail.com|2000/10/01|Y
MERGE|PersonEmail|ALTAHRN01|5503042_PER_EMAIL|5503042|W1|i.mcglothia@yopmail.com|2003/07/01|Y
MERGE|PersonEmail|ALTAHRN01|5503056_PER_EMAIL|5503056|W1|i.hoyt@yopmail.com|1999/12/31|Y
MERGE|PersonEmail|ALTAHRN01|5503059_PER_EMAIL|5503059|W1|a.creglow@yopmail.com|1974/11/11|Y
MERGE|PersonEmail|ALTAHRN01|5503066_PER_EMAIL|5503066|W1|e.thedford@yopmail.com|1984/03/01|Y
MERGE|PersonEmail|ALTAHRN01|5500678_PER_EMAIL|5500678|W1|a.delsoin@yopmail.com|1988/02/08|Y
MERGE|PersonEmail|ALTAHRN01|5500682_PER_EMAIL|5500682|W1|e.versace@yopmail.com|1993/09/01|Y
MERGE|PersonEmail|ALTAHRN01|5500684_PER_EMAIL|5500684|W1|e.freidel@yopmail.com|1982/11/15|Y
MERGE|PersonEmail|ALTAHRN01|5500695_PER_EMAIL|5500695|W1|o.pleil@yopmail.com|1998/03/09|Y
MERGE|PersonEmail|ALTAHRN01|5500720_PER_EMAIL|5500720|W1|i.fiorita@yopmail.com|1981/03/01|Y
MERGE|PersonEmail|ALTAHRN01|5500737_PER_EMAIL|5500737|W1|m.sharbono@yopmail.com|1997/09/15|Y
MERGE|PersonEmail|ALTAHRN01|5500796_PER_EMAIL|5500796|W1|l.litano@yopmail.com|1985/06/03|Y
MERGE|PersonEmail|ALTAHRN01|5500824_PER_EMAIL|5500824|W1|a.huckabee@yopmail.com|1996/09/09|Y
MERGE|PersonEmail|ALTAHRN01|5500827_PER_EMAIL|5500827|W1|e.lardin@yopmail.com|1997/01/13|Y
MERGE|PersonEmail|ALTAHRN01|5500842_PER_EMAIL|5500842|W1|n.frisina@yopmail.com|1995/11/13|Y
MERGE|PersonEmail|ALTAHRN01|5500860_PER_EMAIL|5500860|W1|a.setzler@yopmail.com|1985/01/01|Y
MERGE|PersonEmail|ALTAHRN01|5500865_PER_EMAIL|5500865|W1|a.steifle@yopmail.com|1979/06/25|Y
MERGE|PersonEmail|ALTAHRN01|5500878_PER_EMAIL|5500878|W1|a.busselber@yopmail.com|2005/05/01|Y
MERGE|PersonEmail|ALTAHRN01|5500896_PER_EMAIL|5500896|W1|r.goodrow@yopmail.com|1999/12/31|Y
MERGE|PersonEmail|ALTAHRN01|5500901_PER_EMAIL|5500901|W1|l.gioffre@yopmail.com|1998/09/21|Y
MERGE|PersonEmail|ALTAHRN01|5500917_PER_EMAIL|5500917|W1|a.kindred@yopmail.com|2014/10/01|Y
MERGE|PersonEmail|ALTAHRN01|5500925_PER_EMAIL|5500925|W1|y.voorhes@yopmail.com|1997/01/01|Y
MERGE|PersonEmail|ALTAHRN01|5500939_PER_EMAIL|5500939|W1|a.zercher@yopmail.com|1999/12/31|Y
MERGE|PersonEmail|ALTAHRN01|5500992_PER_EMAIL|5500992|W1|u.newmark@yopmail.com|2000/10/01|Y
MERGE|PersonEmail|ALTAHRN01|5501022_PER_EMAIL|5501022|W1|r.spraggins@yopmail.com|2000/07/31|Y
MERGE|PersonEmail|ALTAHRN01|5501082_PER_EMAIL|5501082|W1|a.suhar@yopmail.com|1980/10/13|Y
MERGE|PersonEmail|ALTAHRN01|5501084_PER_EMAIL|5501084|W1|a.detweiler@yopmail.com|1984/01/01|Y
MERGE|PersonEmail|ALTAHRN01|5501109_PER_EMAIL|5501109|W1|a.mondt@yopmail.com|1969/05/12|Y
MERGE|PersonEmail|ALTAHRN01|5501114_PER_EMAIL|5501114|W1|r.gartner@yopmail.com|1979/09/01|Y
MERGE|PersonEmail|ALTAHRN01|5501185_PER_EMAIL|5501185|W1|l.sandholm@yopmail.com|2013/10/01|Y
MERGE|PersonEmail|ALTAHRN01|5501189_PER_EMAIL|5501189|W1|a.pomrenke@yopmail.com|1998/05/11|Y
MERGE|PersonEmail|ALTAHRN01|5501251_PER_EMAIL|5501251|W1|r.boyko@yopmail.com|1996/02/01|Y
MERGE|PersonEmail|ALTAHRN01|5501266_PER_EMAIL|5501266|W1|o.lundman@yopmail.com|1998/04/01|Y
MERGE|PersonEmail|ALTAHRN01|5501316_PER_EMAIL|5501316|W1|e.fabian@yopmail.com|2004/03/01|Y
MERGE|PersonEmail|ALTAHRN01|5501377_PER_EMAIL|5501377|W1|a.seiber@yopmail.com|2012/01/30|Y
MERGE|PersonEmail|ALTAHRN01|5501400_PER_EMAIL|5501400|W1|o.madsen@yopmail.com|2011/03/01|Y
MERGE|PersonEmail|ALTAHRN01|5501403_PER_EMAIL|5501403|W1|c.boshart@yopmail.com|1997/02/01|Y
MERGE|PersonEmail|ALTAHRN01|5501425_PER_EMAIL|5501425|W1|i.griswould@yopmail.com|1997/02/01|Y
MERGE|PersonEmail|ALTAHRN01|5501749_PER_EMAIL|5501749|W1|o.tervo@yopmail.com|1998/09/01|Y
