METADATA|PersonName|SourceSystemOwner|SourceSystemId|EffectiveStartDate|EffectiveEndDate|PersonId(SourceSystemId)|NameType|LegislationCode|Title|LastName|FirstName|MiddleNames
MERGE|PersonName|ALTAHRN01|5500018_GLOBAL_NAME|1977/01/01|4712/12/31|5500018|GLOBAL|GB|MRS.|Buening|Marita|Diane
MERGE|PersonName|ALTAHRN01|5500165_GLOBAL_NAME|2014/10/01|4712/12/31|5500165|GLOBAL|GB|MRS.|Grobstein|Keira|Anne
MERGE|PersonName|ALTAHRN01|5500178_GLOBAL_NAME|1994/09/01|4712/12/31|5500178|GLOBAL|GB|MR.|Strawhorn|Kory|John
MERGE|PersonName|ALTAHRN01|5500188_GLOBAL_NAME|2001/11/05|4712/12/31|5500188|GLOBAL|GB|PROF|Gremillio|Marita|David
MERGE|PersonName|ALTAHRN01|5500215_GLOBAL_NAME|1992/07/20|4712/12/31|5500215|GLOBAL|GB|MISS|Adolph|Kennith|Elizabeth
MERGE|PersonName|ALTAHRN01|5500255_GLOBAL_NAME|2016/03/21|4712/12/31|5500255|GLOBAL|GB|PROF|Siverson|Lurline|Judith
MERGE|PersonName|ALTAHRN01|5500301_GLOBAL_NAME|1998/09/01|4712/12/31|5500301|GLOBAL|GB|PROF|Acoba|Serafina|Hunter
MERGE|PersonName|ALTAHRN01|5500316_GLOBAL_NAME|1997/04/07|4712/12/31|5500316|GLOBAL|GB|MR.|Thatch|Letha|Spencer
MERGE|PersonName|ALTAHRN01|5500341_GLOBAL_NAME|2013/09/01|4712/12/31|5500341|GLOBAL|GB|MS.|Bowhall|Annis|Ann
MERGE|PersonName|ALTAHRN01|5500362_GLOBAL_NAME|1983/10/01|4712/12/31|5500362|GLOBAL|GB|MR.|Beisser|Maurice|A
MERGE|PersonName|ALTAHRN01|5500375_GLOBAL_NAME|2005/03/14|4712/12/31|5500375|GLOBAL|GB|DR.|Iwanejko|Blair|Duncan
MERGE|PersonName|ALTAHRN01|5500390_GLOBAL_NAME|1999/12/31|4712/12/31|5500390|GLOBAL|GB|MR.|Dantzler|Rhett|T
MERGE|PersonName|ALTAHRN01|5500400_GLOBAL_NAME|1979/06/25|4712/12/31|5500400|GLOBAL|GB|PROF|Layman|Rufus|Y
MERGE|PersonName|ALTAHRN01|5500415_GLOBAL_NAME|1995/09/01|4712/12/31|5500415|GLOBAL|GB|MR.|Grippo|Dudley|Allan
MERGE|PersonName|ALTAHRN01|5500417_GLOBAL_NAME|2006/12/01|4712/12/31|5500417|GLOBAL|GB|MISS|Platko|Lauralee|
MERGE|PersonName|ALTAHRN01|5500436_GLOBAL_NAME|2010/11/01|4712/12/31|5500436|GLOBAL|GB|DR.|Ettel|Rosenda|Margaret
MERGE|PersonName|ALTAHRN01|5500537_GLOBAL_NAME|1981/08/01|4712/12/31|5500537|GLOBAL|GB|MRS.|Trudics|Mikaela|
MERGE|PersonName|ALTAHRN01|5500574_GLOBAL_NAME|2015/04/01|4712/12/31|5500574|GLOBAL|GB|PROF|Krumins|Britteny|
MERGE|PersonName|ALTAHRN01|5500583_GLOBAL_NAME|1992/09/01|4712/12/31|5500583|GLOBAL|GB|PROF|Hemesath|Eura|Jane Violet
MERGE|PersonName|ALTAHRN01|5500589_GLOBAL_NAME|1991/04/01|4712/12/31|5500589|GLOBAL|GB|DR.|Sandven|Angla|Abercrombie
MERGE|PersonName|ALTAHRN01|5500590_GLOBAL_NAME|2007/04/02|4712/12/31|5500590|GLOBAL|GB|DR.|Hun|Shantel|
MERGE|PersonName|ALTAHRN01|5500619_GLOBAL_NAME|1979/01/01|4712/12/31|5500619|GLOBAL|GB|DR.|Gollop|Alyssa|Ann
MERGE|PersonName|ALTAHRN01|5500624_GLOBAL_NAME|1986/08/11|4712/12/31|5500624|GLOBAL|GB|MR.|Meysembou|Royce|Brendan David
MERGE|PersonName|ALTAHRN01|5500627_GLOBAL_NAME|1980/10/01|4712/12/31|5500627|GLOBAL|GB|DR.|Diorio|Shavon|Ruth
